(1, 1e-05, 2.0, 0.103)
(1, 0.0001, 2.0, 0.099)
(1, 0.001, 2.0, 0.0983)
(1, 0.01, 2.0, 0.1091)
(1, 0.1, 2.0, 0.1138)
(1, 1e-05, 5.0, 0.09774)
(1, 0.0001, 5.0, 0.10839000000000001)
(1, 0.001, 5.0, 0.10346)
(1, 0.01, 35.4, 0.15885000000000002)
(1, 0.1, 100.0, 0.20512000000000002)
(20, 1e-05, 5.0, 0.10954)
(20, 0.0001, 5.0, 0.10110000000000001)
(20, 0.001, 5.0, 0.12497)
(20, 0.01, 100.0, 0.53852)
(20, 0.1, 100.0, 0.7715600000000001)
(50, 1e-05, 5.0, 0.09695000000000001)
(50, 0.0001, 5.0, 0.10661000000000001)
(50, 0.001, 5.0, 0.15155999999999997)
(50, 0.01, 100.0, 0.68038)
(50, 0.1, 100.0, 0.85191)
(100, 1e-05, 5.0, 0.09144)
